season,round,circuit_id,lat,long,country,date,url
2016,15,marina_bay,1.2914,103.864,Singapore,2016-09-18,http://en.wikipedia.org/wiki/2016_Singapore_Grand_Prix
2016,16,sepang,2.76083,101.738,Malaysia,2016-10-02,http://en.wikipedia.org/wiki/2016_Malaysian_Grand_Prix
2016,17,suzuka,34.8431,136.541,Japan,2016-10-09,http://en.wikipedia.org/wiki/2016_Japanese_Grand_Prix
2016,18,americas,30.1328,-97.6411,USA,2016-10-23,http://en.wikipedia.org/wiki/2016_United_States_Grand_Prix
2016,19,rodriguez,19.4042,-99.0907,Mexico,2016-10-30,http://en.wikipedia.org/wiki/2016_Mexican_Grand_Prix
2016,20,interlagos,-23.7036,-46.6997,Brazil,2016-11-13,http://en.wikipedia.org/wiki/2016_Brazilian_Grand_Prix
2016,21,yas_marina,24.4672,54.6031,UAE,2016-11-27,http://en.wikipedia.org/wiki/2016_Abu_Dhabi_Grand_Prix
2017,1,albert_park,-37.8497,144.968,Australia,2017-03-26,http://en.wikipedia.org/wiki/2017_Australian_Grand_Prix
2017,2,shanghai,31.3389,121.22,China,2017-04-09,http://en.wikipedia.org/wiki/2017_Chinese_Grand_Prix
2017,3,bahrain,26.0325,50.5106,Bahrain,2017-04-16,http://en.wikipedia.org/wiki/2017_Bahrain_Grand_Prix
2017,4,sochi,43.4057,39.9578,Russia,2017-04-30,http://en.wikipedia.org/wiki/2017_Russian_Grand_Prix
2017,5,catalunya,41.57,2.26111,Spain,2017-05-14,http://en.wikipedia.org/wiki/2017_Spanish_Grand_Prix
2017,6,monaco,43.7347,7.42056,Monaco,2017-05-28,http://en.wikipedia.org/wiki/2017_Monaco_Grand_Prix
2017,7,villeneuve,45.5,-73.5228,Canada,2017-06-11,http://en.wikipedia.org/wiki/2017_Canadian_Grand_Prix
2017,8,baku,40.3725,49.8533,Azerbaijan,2017-06-25,http://en.wikipedia.org/wiki/2017_Azerbaijan_Grand_Prix
2017,9,red_bull_ring,47.2197,14.7647,Austria,2017-07-09,http://en.wikipedia.org/wiki/2017_Austrian_Grand_Prix
2017,10,silverstone,52.0786,-1.01694,UK,2017-07-16,http://en.wikipedia.org/wiki/2017_British_Grand_Prix
2017,11,hungaroring,47.5789,19.2486,Hungary,2017-07-30,http://en.wikipedia.org/wiki/2017_Hungarian_Grand_Prix
2017,12,spa,50.4372,5.97139,Belgium,2017-08-27,http://en.wikipedia.org/wiki/2017_Belgian_Grand_Prix
2017,13,monza,45.6156,9.28111,Italy,2017-09-03,http://en.wikipedia.org/wiki/2017_Italian_Grand_Prix
2017,14,marina_bay,1.2914,103.864,Singapore,2017-09-17,http://en.wikipedia.org/wiki/2017_Singapore_Grand_Prix
2017,15,sepang,2.76083,101.738,Malaysia,2017-10-01,http://en.wikipedia.org/wiki/2017_Malaysian_Grand_Prix
2017,16,suzuka,34.8431,136.541,Japan,2017-10-08,http://en.wikipedia.org/wiki/2017_Japanese_Grand_Prix
2017,17,americas,30.1328,-97.6411,USA,2017-10-22,http://en.wikipedia.org/wiki/2017_United_States_Grand_Prix
2017,18,rodriguez,19.4042,-99.0907,Mexico,2017-10-29,http://en.wikipedia.org/wiki/2017_Mexican_Grand_Prix
2017,19,interlagos,-23.7036,-46.6997,Brazil,2017-11-12,http://en.wikipedia.org/wiki/2017_Brazilian_Grand_Prix
2017,20,yas_marina,24.4672,54.6031,UAE,2017-11-26,http://en.wikipedia.org/wiki/2017_Abu_Dhabi_Grand_Prix
2018,1,albert_park,-37.8497,144.968,Australia,2018-03-25,http://en.wikipedia.org/wiki/2018_Australian_Grand_Prix
2018,2,bahrain,26.0325,50.5106,Bahrain,2018-04-08,http://en.wikipedia.org/wiki/2018_Bahrain_Grand_Prix
2018,3,shanghai,31.3389,121.22,China,2018-04-15,http://en.wikipedia.org/wiki/2018_Chinese_Grand_Prix
2018,4,baku,40.3725,49.8533,Azerbaijan,2018-04-29,http://en.wikipedia.org/wiki/2018_Azerbaijan_Grand_Prix
2018,5,catalunya,41.57,2.26111,Spain,2018-05-13,http://en.wikipedia.org/wiki/2018_Spanish_Grand_Prix
2018,6,monaco,43.7347,7.42056,Monaco,2018-05-27,http://en.wikipedia.org/wiki/2018_Monaco_Grand_Prix
2018,7,villeneuve,45.5,-73.5228,Canada,2018-06-10,http://en.wikipedia.org/wiki/2018_Canadian_Grand_Prix
2018,8,ricard,43.2506,5.79167,France,2018-06-24,http://en.wikipedia.org/wiki/2018_French_Grand_Prix
2018,9,red_bull_ring,47.2197,14.7647,Austria,2018-07-01,http://en.wikipedia.org/wiki/2018_Austrian_Grand_Prix
2018,10,silverstone,52.0786,-1.01694,UK,2018-07-08,http://en.wikipedia.org/wiki/2018_British_Grand_Prix
2018,11,hockenheimring,49.3278,8.56583,Germany,2018-07-22,http://en.wikipedia.org/wiki/2018_German_Grand_Prix
2018,12,hungaroring,47.5789,19.2486,Hungary,2018-07-29,http://en.wikipedia.org/wiki/2018_Hungarian_Grand_Prix
2018,13,spa,50.4372,5.97139,Belgium,2018-08-26,http://en.wikipedia.org/wiki/2018_Belgian_Grand_Prix
2018,14,monza,45.6156,9.28111,Italy,2018-09-02,http://en.wikipedia.org/wiki/2018_Italian_Grand_Prix
2018,15,marina_bay,1.2914,103.864,Singapore,2018-09-16,http://en.wikipedia.org/wiki/2018_Singapore_Grand_Prix
2018,16,sochi,43.4057,39.9578,Russia,2018-09-30,http://en.wikipedia.org/wiki/2018_Russian_Grand_Prix
2018,17,suzuka,34.8431,136.541,Japan,2018-10-07,http://en.wikipedia.org/wiki/2018_Japanese_Grand_Prix
2018,18,americas,30.1328,-97.6411,USA,2018-10-21,http://en.wikipedia.org/wiki/2018_United_States_Grand_Prix
2018,19,rodriguez,19.4042,-99.0907,Mexico,2018-10-28,http://en.wikipedia.org/wiki/2018_Mexican_Grand_Prix
2018,20,interlagos,-23.7036,-46.6997,Brazil,2018-11-11,http://en.wikipedia.org/wiki/2018_Brazilian_Grand_Prix
2018,21,yas_marina,24.4672,54.6031,UAE,2018-11-25,http://en.wikipedia.org/wiki/2018_Abu_Dhabi_Grand_Prix
2019,1,albert_park,-37.8497,144.968,Australia,2019-03-17,http://en.wikipedia.org/wiki/2019_Australian_Grand_Prix
2019,2,bahrain,26.0325,50.5106,Bahrain,2019-03-31,http://en.wikipedia.org/wiki/2019_Bahrain_Grand_Prix
2019,3,shanghai,31.3389,121.22,China,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix
2019,4,baku,40.3725,49.8533,Azerbaijan,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix
2019,5,catalunya,41.57,2.26111,Spain,2019-05-12,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix
2019,6,monaco,43.7347,7.42056,Monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix
2019,7,villeneuve,45.5,-73.5228,Canada,2019-06-09,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix
2019,8,ricard,43.2506,5.79167,France,2019-06-23,http://en.wikipedia.org/wiki/2019_French_Grand_Prix
2019,9,red_bull_ring,47.2197,14.7647,Austria,2019-06-30,http://en.wikipedia.org/wiki/2019_Austrian_Grand_Prix
2019,10,silverstone,52.0786,-1.01694,UK,2019-07-14,http://en.wikipedia.org/wiki/2019_British_Grand_Prix
2019,11,hockenheimring,49.3278,8.56583,Germany,2019-07-28,http://en.wikipedia.org/wiki/2019_German_Grand_Prix
2019,12,hungaroring,47.5789,19.2486,Hungary,2019-08-04,http://en.wikipedia.org/wiki/2019_Hungarian_Grand_Prix
2019,13,spa,50.4372,5.97139,Belgium,2019-09-01,http://en.wikipedia.org/wiki/2019_Belgian_Grand_Prix
2019,14,monza,45.6156,9.28111,Italy,2019-09-08,http://en.wikipedia.org/wiki/2019_Italian_Grand_Prix
2019,15,marina_bay,1.2914,103.864,Singapore,2019-09-22,http://en.wikipedia.org/wiki/2019_Singapore_Grand_Prix
2019,16,sochi,43.4057,39.9578,Russia,2019-09-29,http://en.wikipedia.org/wiki/2019_Russian_Grand_Prix
2019,17,suzuka,34.8431,136.541,Japan,2019-10-13,http://en.wikipedia.org/wiki/2019_Japanese_Grand_Prix
2019,18,rodriguez,19.4042,-99.0907,Mexico,2019-10-27,http://en.wikipedia.org/wiki/2019_Mexican_Grand_Prix
2019,19,americas,30.1328,-97.6411,USA,2019-11-03,http://en.wikipedia.org/wiki/2019_United_States_Grand_Prix
2019,20,interlagos,-23.7036,-46.6997,Brazil,2019-11-17,http://en.wikipedia.org/wiki/2019_Brazilian_Grand_Prix
2019,21,yas_marina,24.4672,54.6031,UAE,2019-12-01,http://en.wikipedia.org/wiki/2019_Abu_Dhabi_Grand_Prix
2020,1,red_bull_ring,47.2197,14.7647,Austria,2020-07-05,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix
2020,2,red_bull_ring,47.2197,14.7647,Austria,2020-07-12,http://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix
2020,3,hungaroring,47.5789,19.2486,Hungary,2020-07-19,http://en.wikipedia.org/wiki/2020_Hungarian_Grand_Prix
2020,4,silverstone,52.0786,-1.01694,UK,2020-08-02,http://en.wikipedia.org/wiki/2020_British_Grand_Prix
2020,5,silverstone,52.0786,-1.01694,UK,2020-08-09,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix
2020,6,catalunya,41.57,2.26111,Spain,2020-08-16,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix
2020,7,spa,50.4372,5.97139,Belgium,2020-08-30,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix
2020,8,monza,45.6156,9.28111,Italy,2020-09-06,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix
2020,9,mugello,43.9975,11.3719,Italy,2020-09-13,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix
2020,10,sochi,43.4057,39.9578,Russia,2020-09-27,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix
2020,11,nurburgring,50.3356,6.9475,Germany,2020-10-11,http://en.wikipedia.org/wiki/2020_Eifel_Grand_Prix
2020,12,portimao,37.227,-8.6267,Portugal,2020-10-25,http://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix
2020,13,imola,44.3439,11.7167,Italy,2020-11-01,http://en.wikipedia.org/wiki/2020_Emilia_Romagna_Grand_Prix
2020,14,istanbul,40.9517,29.405,Turkey,2020-11-15,http://en.wikipedia.org/wiki/2020_Turkish_Grand_Prix
2020,15,bahrain,26.0325,50.5106,Bahrain,2020-11-29,http://en.wikipedia.org/wiki/2020_Bahrain_Grand_Prix
2020,16,bahrain,26.0325,50.5106,Bahrain,2020-12-06,http://en.wikipedia.org/wiki/2020_Sakhir_Grand_Prix
2020,17,yas_marina,24.4672,54.6031,UAE,2020-12-13,http://en.wikipedia.org/wiki/2020_Abu_Dhabi_Grand_Prix
2021,1,bahrain,26.0325,50.5106,Bahrain,2021-03-28,http://en.wikipedia.org/wiki/2021_Bahrain_Grand_Prix
2021,2,imola,44.3439,11.7167,Italy,2021-04-18,http://en.wikipedia.org/wiki/2021_Emilia_Romagna_Grand_Prix
2021,3,portimao,37.227,-8.6267,Portugal,2021-05-02,http://en.wikipedia.org/wiki/2021_Portuguese_Grand_Prix
2021,4,catalunya,41.57,2.26111,Spain,2021-05-09,http://en.wikipedia.org/wiki/2021_Spanish_Grand_Prix
2021,5,monaco,43.7347,7.42056,Monaco,2021-05-23,http://en.wikipedia.org/wiki/2021_Monaco_Grand_Prix
2021,6,baku,40.3725,49.8533,Azerbaijan,2021-06-06,http://en.wikipedia.org/wiki/2021_Azerbaijan_Grand_Prix
2021,7,ricard,43.2506,5.79167,France,2021-06-20,http://en.wikipedia.org/wiki/2021_French_Grand_Prix
2021,8,red_bull_ring,47.2197,14.7647,Austria,2021-06-27,http://en.wikipedia.org/wiki/2021_Styrian_Grand_Prix
2021,9,red_bull_ring,47.2197,14.7647,Austria,2021-07-04,http://en.wikipedia.org/wiki/2021_Austrian_Grand_Prix
2021,10,silverstone,52.0786,-1.01694,UK,2021-07-18,http://en.wikipedia.org/wiki/2021_British_Grand_Prix
2021,11,hungaroring,47.5789,19.2486,Hungary,2021-08-01,http://en.wikipedia.org/wiki/2021_Hungarian_Grand_Prix
2021,12,spa,50.4372,5.97139,Belgium,2021-08-29,http://en.wikipedia.org/wiki/2021_Belgian_Grand_Prix
2021,13,zandvoort,52.3888,4.54092,Netherlands,2021-09-05,http://en.wikipedia.org/wiki/2021_Dutch_Grand_Prix
2021,14,monza,45.6156,9.28111,Italy,2021-09-12,http://en.wikipedia.org/wiki/2021_Italian_Grand_Prix
2021,15,sochi,43.4057,39.9578,Russia,2021-09-26,http://en.wikipedia.org/wiki/2021_Russian_Grand_Prix
2021,16,istanbul,40.9517,29.405,Turkey,2021-10-10,http://en.wikipedia.org/wiki/2021_Turkish_Grand_Prix
2021,17,americas,30.1328,-97.6411,USA,2021-10-24,http://en.wikipedia.org/wiki/2021_United_States_Grand_Prix
2021,18,rodriguez,19.4042,-99.0907,Mexico,2021-11-07,http://en.wikipedia.org/wiki/2021_Mexican_Grand_Prix
2021,19,interlagos,-23.7036,-46.6997,Brazil,2021-11-14,http://en.wikipedia.org/wiki/2021_S%C3%A3o_Paulo_Grand_Prix
2021,20,losail,25.49,51.4542,Qatar,2021-11-21,http://en.wikipedia.org/wiki/2021_Qatar_Grand_Prix
2021,21,jeddah,21.6319,39.1044,Saudi Arabia,2021-12-05,http://en.wikipedia.org/wiki/2021_Saudi_Arabian_Grand_Prix
2021,22,yas_marina,24.4672,54.6031,UAE,2021-12-12,http://en.wikipedia.org/wiki/2021_Abu_Dhabi_Grand_Prix
2022,1,bahrain,26.0325,50.5106,Bahrain,2022-03-20,http://en.wikipedia.org/wiki/2022_Bahrain_Grand_Prix
2022,2,jeddah,21.6319,39.1044,Saudi Arabia,2022-03-27,http://en.wikipedia.org/wiki/2022_Saudi_Arabian_Grand_Prix
2022,3,albert_park,-37.8497,144.968,Australia,2022-04-10,http://en.wikipedia.org/wiki/2022_Australian_Grand_Prix
2022,4,imola,44.3439,11.7167,Italy,2022-04-24,http://en.wikipedia.org/wiki/2022_Emilia_Romagna_Grand_Prix
2022,5,miami,25.9581,-80.2389,USA,2022-05-08,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix
2022,6,catalunya,41.57,2.26111,Spain,2022-05-22,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix
2022,7,monaco,43.7347,7.42056,Monaco,2022-05-29,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix
2022,8,baku,40.3725,49.8533,Azerbaijan,2022-06-12,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix
2022,9,villeneuve,45.5,-73.5228,Canada,2022-06-19,http://en.wikipedia.org/wiki/2022_Canadian_Grand_Prix
2022,10,silverstone,52.0786,-1.01694,UK,2022-07-03,http://en.wikipedia.org/wiki/2022_British_Grand_Prix
2022,11,red_bull_ring,47.2197,14.7647,Austria,2022-07-10,http://en.wikipedia.org/wiki/2022_Austrian_Grand_Prix
2022,12,ricard,43.2506,5.79167,France,2022-07-24,http://en.wikipedia.org/wiki/2022_French_Grand_Prix
2022,13,hungaroring,47.5789,19.2486,Hungary,2022-07-31,http://en.wikipedia.org/wiki/2022_Hungarian_Grand_Prix
2022,14,spa,50.4372,5.97139,Belgium,2022-08-28,http://en.wikipedia.org/wiki/2022_Belgian_Grand_Prix
2022,15,zandvoort,52.3888,4.54092,Netherlands,2022-09-04,http://en.wikipedia.org/wiki/2022_Dutch_Grand_Prix
2022,16,monza,45.6156,9.28111,Italy,2022-09-11,http://en.wikipedia.org/wiki/2022_Italian_Grand_Prix
2022,17,marina_bay,1.2914,103.864,Singapore,2022-10-02,http://en.wikipedia.org/wiki/2022_Singapore_Grand_Prix
2022,18,suzuka,34.8431,136.541,Japan,2022-10-09,http://en.wikipedia.org/wiki/2022_Japanese_Grand_Prix
2022,19,americas,30.1328,-97.6411,USA,2022-10-23,http://en.wikipedia.org/wiki/2022_United_States_Grand_Prix
2022,20,rodriguez,19.4042,-99.0907,Mexico,2022-10-30,http://en.wikipedia.org/wiki/2022_Mexican_Grand_Prix
2022,21,interlagos,-23.7036,-46.6997,Brazil,2022-11-13,http://en.wikipedia.org/wiki/2022_Brazilian_Grand_Prix
2022,22,yas_marina,24.4672,54.6031,UAE,2022-11-20,http://en.wikipedia.org/wiki/2022_Abu_Dhabi_Grand_Prix
2023,1,bahrain,26.0325,50.5106,Bahrain,2023-03-05,https://en.wikipedia.org/wiki/2023_Bahrain_Grand_Prix
2023,2,jeddah,21.6319,39.1044,Saudi Arabia,2023-03-19,https://en.wikipedia.org/wiki/2023_Saudi_Arabian_Grand_Prix
2023,3,albert_park,-37.8497,144.968,Australia,2023-04-02,https://en.wikipedia.org/wiki/2023_Australian_Grand_Prix
2023,4,baku,40.3725,49.8533,Azerbaijan,2023-04-30,https://en.wikipedia.org/wiki/2023_Azerbaijan_Grand_Prix
2023,5,miami,25.9581,-80.2389,USA,2023-05-07,https://en.wikipedia.org/wiki/2023_Miami_Grand_Prix
2023,6,monaco,43.7347,7.42056,Monaco,2023-05-28,https://en.wikipedia.org/wiki/2023_Monaco_Grand_Prix
2023,7,catalunya,41.57,2.26111,Spain,2023-06-04,https://en.wikipedia.org/wiki/2023_Spanish_Grand_Prix
2023,8,villeneuve,45.5,-73.5228,Canada,2023-06-18,https://en.wikipedia.org/wiki/2023_Canadian_Grand_Prix
2023,9,red_bull_ring,47.2197,14.7647,Austria,2023-07-02,https://en.wikipedia.org/wiki/2023_Austrian_Grand_Prix
2023,10,silverstone,52.0786,-1.01694,UK,2023-07-09,https://en.wikipedia.org/wiki/2023_British_Grand_Prix
2023,11,hungaroring,47.5789,19.2486,Hungary,2023-07-23,https://en.wikipedia.org/wiki/2023_Hungarian_Grand_Prix
2023,12,spa,50.4372,5.97139,Belgium,2023-07-30,https://en.wikipedia.org/wiki/2023_Belgian_Grand_Prix
2023,13,zandvoort,52.3888,4.54092,Netherlands,2023-08-27,https://en.wikipedia.org/wiki/2023_Dutch_Grand_Prix
2023,14,monza,45.6156,9.28111,Italy,2023-09-03,https://en.wikipedia.org/wiki/2023_Italian_Grand_Prix
2023,15,marina_bay,1.2914,103.864,Singapore,2023-09-17,https://en.wikipedia.org/wiki/2023_Singapore_Grand_Prix
2023,16,suzuka,34.8431,136.541,Japan,2023-09-24,https://en.wikipedia.org/wiki/2023_Japanese_Grand_Prix
2023,17,losail,25.49,51.4542,Qatar,2023-10-08,https://en.wikipedia.org/wiki/2023_Qatar_Grand_Prix
2023,18,americas,30.1328,-97.6411,USA,2023-10-22,https://en.wikipedia.org/wiki/2023_United_States_Grand_Prix
2023,19,rodriguez,19.4042,-99.0907,Mexico,2023-10-29,https://en.wikipedia.org/wiki/2023_Mexico_City_Grand_Prix
2023,20,interlagos,-23.7036,-46.6997,Brazil,2023-11-05,https://en.wikipedia.org/wiki/2023_S%C3%A3o_Paulo_Grand_Prix
2023,21,vegas,36.1147,-115.173,United States,2023-11-19,https://en.wikipedia.org/wiki/2023_Las_Vegas_Grand_Prix
2023,22,yas_marina,24.4672,54.6031,UAE,2023-11-26,https://en.wikipedia.org/wiki/2023_Abu_Dhabi_Grand_Prix
